,GroupName,attribute,similarity,value count,merged count,factor of increase
77,Age,age,0.9999999999999998,363161,370206,1.0193991094858754
25,Cell type,cell type,0.9999999999999998,150652,661884,4.39346308047686
50,Condition/Disease,disease,1.0,36349,45523,1.2523865856007044
80,Data type,molecular data type,1.0,544515,544515,1.0
40,Genotype,genotype,1.0,117332,153181,1.3055347219854772
81,Platform,platform,0.9999999999999998,3476,147541,42.445627157652474
99,Protocol,protocol,1.0,5851,8576,1.4657323534438558
61,Sex,sex,0.9999999999999998,643290,808204,1.2563602729717547
0,Species,SCIENTIFIC_NAME,0.9999999999999998,2773124,3366952,1.2141368362900469
9,Strain,strain,1.0,598496,729026,1.2180966957172645
57,Tissue,tissue,1.0,446429,498948,1.1176424470632509
